onset	duration	sample	trial_type	value
0	0.002	1	New Segment	n/a
0	0.002	1	Scanner	Scan Start
2	0.002	1001	Scanner	Scan Start
4	0.002	2001	Scanner	Scan Start
6	0.002	3001	Scanner	Scan Start
7.094	0.002	3548	Stimulus	S 10
8	0.002	4001	Scanner	Scan Start
8.298	0.002	4150	Response	Hit
8.5	0.002	4251	Stimulus	S130
10	0.002	5001	Scanner	Scan Start
12	0.002	6001	Scanner	Scan Start
14	0.002	7001	Scanner	Scan Start
15.038	0.002	7520	Stimulus	S 40
15.818	0.002	7910	Response	CR
16	0.002	8001	Scanner	Scan Start
16.02	0.002	8011	Stimulus	S140
18	0.002	9001	Scanner	Scan Start
20	0.002	10001	Scanner	Scan Start
22	0.002	11001	Scanner	Scan Start
23.056	0.002	11529	Stimulus	S 30
23.998	0.002	12000	Response	CR
24	0.002	12001	Scanner	Scan Start
24.2	0.002	12101	Stimulus	S130
26	0.002	13001	Scanner	Scan Start
28	0.002	14001	Scanner	Scan Start
30	0.002	15001	Scanner	Scan Start
32	0.002	16001	Scanner	Scan Start
33.018	0.002	16510	Stimulus	S 40
33.818	0.002	16910	Response	CR
34	0.002	17001	Scanner	Scan Start
34.02	0.002	17011	Stimulus	S110
36	0.002	18001	Scanner	Scan Start
38	0.002	19001	Scanner	Scan Start
40	0.002	20001	Scanner	Scan Start
42	0.002	21001	Scanner	Scan Start
43.076	0.002	21539	Stimulus	S 10
43.96	0.002	21981	Response	Hit
44	0.002	22001	Scanner	Scan Start
44.162	0.002	22082	Stimulus	S120
46	0.002	23001	Scanner	Scan Start
48	0.002	24001	Scanner	Scan Start
50	0.002	25001	Scanner	Scan Start
52	0.002	26001	Scanner	Scan Start
53.038	0.002	26520	Stimulus	S 20
54	0.002	27001	Scanner	Scan Start
54.074	0.002	27038	Response	FA
54.276	0.002	27139	Stimulus	S160
56	0.002	28001	Scanner	Scan Start
58	0.002	29001	Scanner	Scan Start
60	0.002	30001	Scanner	Scan Start
62	0.002	31001	Scanner	Scan Start
63.094	0.002	31548	Stimulus	S 30
63.98	0.002	31991	Response	FA
64	0.002	32001	Scanner	Scan Start
64.182	0.002	32092	Stimulus	S170
66	0.002	33001	Scanner	Scan Start
68	0.002	34001	Scanner	Scan Start
70	0.002	35001	Scanner	Scan Start
71.056	0.002	35529	Stimulus	S 20
72	0.002	36001	Scanner	Scan Start
72.166	0.002	36084	Response	FA
73.868	0.002	36935	Stimulus	S151
74	0.002	37001	Scanner	Scan Start
76	0.002	38001	Scanner	Scan Start
78	0.002	39001	Scanner	Scan Start
79.018	0.002	39510	Stimulus	S 10
80	0.002	40001	Scanner	Scan Start
80.03	0.002	40016	Response	MISS
80.232	0.002	40117	Stimulus	S180
82	0.002	41001	Scanner	Scan Start
84	0.002	42001	Scanner	Scan Start
86	0.002	43001	Scanner	Scan Start
